sku,item_number,upc_ean_gtin,manufacturer_part_number,product_name,short_description,long_description,product_category,subcategory,brand,model,product_status,unit_of_measure,inventory_type,stocking_indicator,reorder_point,safety_stock,lead_time_days,min_order_qty,max_order_qty,cycle_count_class,lot_controlled,serial_controlled,standard_cost,average_cost,last_cost,list_price,selling_price,currency,price_effective_date,primary_vendor_id,primary_vendor_name,vendor_sku,vendor_lead_time_days,country_of_origin,weight_lbs,length_in,width_in,height_in,volume_cubic_in,color,material,hazardous_material_flag,warehouse_id,zone,aisle,rack,shelf,bin,warehouse_location_code,storage_type,seo_title,product_image_url,product_page_url,marketing_description,keywords,web_enabled,channel,created_date,created_by,last_modified_date,last_modified_by,version_number
COM-SIG-N350-SL-0001,ITM-000001,218196001338,MPN-SIG-731262,SignalMax N350-SL Laptop,Laptop by SignalMax,SignalMax N350-SL Laptop for consumer and business electronics applications.,Computer,Laptop,SignalMax,N350-SL,Active,EA,Finished Good,Stocked,55,93,44,20,2500,B,N,Y,1340.66,1301.14,1414.07,2365.37,1988.33,USD,2024-09-27,SUP-006,Monterrey Cable Works,V-SUP-006-80284,20,Mexico,13.95,11.45,16.69,2.29,437.62,Graphite,Aluminum,N,WH-MIA-01,Z13,A07,R046,S06,B05,Z13-A07-R046-S06-B05,Bulk,Buy SignalMax N350-SL Laptop,https://example.com/images/COM-SIG-N350-SL-0001.jpg,https://example.com/products/COM-SIG-N350-SL-0001,Reliable laptop with modern electronics features and dependable performance.,"computer,laptop,signalmax,n350-sl",Y,Wholesale,2024-09-27,kpatel,2024-10-08,sku_admin,10
CAB-APE-R333-WH-0002,ITM-000002,131647525534,MPN-APE-835911,ApexTech R333-WH HDMI Cable,HDMI Cable by ApexTech,ApexTech R333-WH HDMI Cable for consumer and business electronics applications.,Cable,HDMI Cable,ApexTech,R333-WH,Inactive,BOX,Accessory,Stocked,167,23,37,20,250,A,N,N,19.11,19.59,18.7,30.35,27.22,USD,2025-11-02,SUP-001,Shenzhen Bright Electronics,V-SUP-001-70142,23,China,0.76,3.29,3.89,1.17,14.97,Blue,Steel,N,WH-MIA-01,Z07,A37,R092,S06,B02,Z07-A37-R092-S06-B02,Bulk,Buy ApexTech R333-WH HDMI Cable,https://example.com/images/CAB-APE-R333-WH-0002.jpg,https://example.com/products/CAB-APE-R333-WH-0002,Reliable hdmi cable with modern electronics features and dependable performance.,"cable,hdmi-cable,apextech,r333-wh",N,B2B,2025-11-02,sku_admin,2026-03-09,kpatel,5
ACC-VOL-P470-SL-0003,ITM-000003,287101226916,MPN-VOL-500156,VoltEdge P470-SL Power Adapter,Power Adapter by VoltEdge,VoltEdge P470-SL Power Adapter for consumer and business electronics applications.,Accessory,Power Adapter,VoltEdge,P470-SL,Active,EA,Component,Stocked,69,72,58,1,100,C,N,N,263.63,271.93,262.11,442.72,399.31,USD,2025-10-16,SUP-003,Seoul Digital Supply,V-SUP-003-30032,52,South Korea,6.97,19.21,13.39,3.37,866.84,Silver,Plastic,N,WH-MIA-01,Z17,A12,R065,S02,B03,Z17-A12-R065-S02-B03,Cage,Buy VoltEdge P470-SL Power Adapter,https://example.com/images/ACC-VOL-P470-SL-0003.jpg,https://example.com/products/ACC-VOL-P470-SL-0003,Reliable power adapter with modern electronics features and dependable performance.,"accessory,power-adapter,voltedge,p470-sl",Y,E-commerce,2025-10-16,mchen,2026-02-22,jmartinez,2
MON-ZEN-X346-MAX-0004,ITM-000004,117182278248,MPN-ZEN-736059,Zenith Digital X346-MAX Ultrawide Monitor,Ultrawide Monitor by Zenith Digital,Zenith Digital X346-MAX Ultrawide Monitor for consumer and business electronics applications.,Monitor,Ultrawide Monitor,Zenith Digital,X346-MAX,Active,EA,Finished Good,Stocked,242,71,51,20,250,C,N,Y,886.3,890.77,901.62,1497.03,1393.62,USD,2024-03-10,SUP-004,Tokyo Precision Devices,V-SUP-004-77391,35,Japan,4.41,14.5,3.22,17.83,832.48,Blue,Mixed Materials,N,WH-MIA-01,Z01,A05,R091,S01,B02,Z01-A05-R091-S01-B02,Pallet,Buy Zenith Digital X346-MAX Ultrawide Monitor,https://example.com/images/MON-ZEN-X346-MAX-0004.jpg,https://example.com/products/MON-ZEN-X346-MAX-0004,Reliable ultrawide monitor with modern electronics features and dependable performance.,"monitor,ultrawide-monitor,zenith-digital,x346-max",Y,B2B,2024-03-10,arodriguez,2024-03-18,gtovar,10
STO-TER-P294-BK-0005,ITM-000005,165667010651,MPN-TER-360735,TerraWave P294-BK External HDD,External HDD by TerraWave,TerraWave P294-BK External HDD for consumer and business electronics applications.,Storage,External HDD,TerraWave,P294-BK,Active,EA,Finished Good,Stocked,142,59,11,5,250,B,N,N,58.19,60.43,56.02,101.92,86.34,USD,2025-02-14,SUP-009,Berlin Network Systems,V-SUP-009-10282,54,Germany,12.59,19.47,14.04,8.64,2361.82,Blue,Mixed Materials,N,WH-MIA-01,Z06,A27,R063,S08,B02,Z06-A27-R063-S08-B02,Bulk,Buy TerraWave P294-BK External HDD,https://example.com/images/STO-TER-P294-BK-0005.jpg,https://example.com/products/STO-TER-P294-BK-0005,Reliable external hdd with modern electronics features and dependable performance.,"storage,external-hdd,terrawave,p294-bk",Y,Marketplace,2025-02-14,jmartinez,2025-03-01,sku_admin,3
CAB-ZEN-X693-PLUS-0006,ITM-000006,805009788208,MPN-ZEN-184002,Zenith Digital X693-PLUS Ethernet Cable,Ethernet Cable by Zenith Digital,Zenith Digital X693-PLUS Ethernet Cable for consumer and business electronics applications.,Cable,Ethernet Cable,Zenith Digital,X693-PLUS,Active,EA,Finished Good,Stocked,177,32,28,1,2500,A,N,N,3.71,3.79,3.8,8.26,7.42,USD,2025-04-14,SUP-005,Austin Tech Distribution,V-SUP-005-19602,73,USA,0.69,9.45,3.43,1.49,48.3,Gray,Glass,N,WH-MIA-01,Z10,A30,R041,S02,B01,Z10-A30-R041-S02-B01,Rack,Buy Zenith Digital X693-PLUS Ethernet Cable,https://example.com/images/CAB-ZEN-X693-PLUS-0006.jpg,https://example.com/products/CAB-ZEN-X693-PLUS-0006,Reliable ethernet cable with modern electronics features and dependable performance.,"cable,ethernet-cable,zenith-digital,x693-plus",Y,E-commerce,2025-04-14,mchen,2025-09-20,gtovar,4
MON-COR-P953-MAX-0007,ITM-000007,498084124118,MPN-COR-262998,CoreByte P953-MAX Ultrawide Monitor,Ultrawide Monitor by CoreByte,CoreByte P953-MAX Ultrawide Monitor for consumer and business electronics applications.,Monitor,Ultrawide Monitor,CoreByte,P953-MAX,Active,EA,Finished Good,Stocked,159,28,48,1,250,C,N,Y,258.09,269.04,273.57,461.72,432.14,USD,2025-12-23,SUP-007,Hanoi Electronics Manufacturing,V-SUP-007-24663,14,Vietnam,21.25,15.06,2.33,10.96,384.58,Silver,Plastic,N,WH-MIA-01,Z09,A11,R095,S08,B05,Z09-A11-R095-S08-B05,Bulk,Buy CoreByte P953-MAX Ultrawide Monitor,https://example.com/images/MON-COR-P953-MAX-0007.jpg,https://example.com/products/MON-COR-P953-MAX-0007,Reliable ultrawide monitor with modern electronics features and dependable performance.,"monitor,ultrawide-monitor,corebyte,p953-max",Y,B2B,2025-12-23,mchen,2026-04-11,gtovar,3
KEY-APE-N473-BK-0008,ITM-000008,533158692322,MPN-APE-532322,ApexTech N473-BK Wireless Keyboard,Wireless Keyboard by ApexTech,ApexTech N473-BK Wireless Keyboard for consumer and business electronics applications.,Keyboard,Wireless Keyboard,ApexTech,N473-BK,Active,EA,Finished Good,Stocked,193,44,53,5,250,B,N,N,33.98,34.0,32.45,59.96,52.41,USD,2024-12-02,SUP-004,Tokyo Precision Devices,V-SUP-004-56025,70,Japan,12.3,10.83,5.97,8.16,527.59,Graphite,ABS Plastic,N,WH-MIA-01,Z08,A15,R004,S04,B04,Z08-A15-R004-S04-B04,Shelf,Buy ApexTech N473-BK Wireless Keyboard,https://example.com/images/KEY-APE-N473-BK-0008.jpg,https://example.com/products/KEY-APE-N473-BK-0008,Reliable wireless keyboard with modern electronics features and dependable performance.,"keyboard,wireless-keyboard,apextech,n473-bk",Y,Wholesale,2024-12-02,gtovar,2025-02-11,arodriguez,3
ACC-APE-X710-PRO-0009,ITM-000009,556981693406,MPN-APE-101773,ApexTech X710-PRO Webcam,Webcam by ApexTech,ApexTech X710-PRO Webcam for consumer and business electronics applications.,Accessory,Webcam,ApexTech,X710-PRO,Active,EA,Finished Good,Non-stocked,189,96,50,20,250,B,N,N,141.38,147.55,145.76,236.26,199.77,USD,2025-03-06,SUP-002,Taipei Core Components,V-SUP-002-32810,43,Taiwan,10.88,8.11,6.02,4.68,228.49,Graphite,Plastic,N,WH-MIA-01,Z13,A19,R071,S03,B02,Z13-A19-R071-S03-B02,Pallet,Buy ApexTech X710-PRO Webcam,https://example.com/images/ACC-APE-X710-PRO-0009.jpg,https://example.com/products/ACC-APE-X710-PRO-0009,Reliable webcam with modern electronics features and dependable performance.,"accessory,webcam,apextech,x710-pro",Y,Marketplace,2025-03-06,sku_admin,2025-08-23,kpatel,10
ACC-TER-P552-PLUS-0010,ITM-000010,387214895134,MPN-TER-335552,TerraWave P552-PLUS Webcam,Webcam by TerraWave,TerraWave P552-PLUS Webcam for consumer and business electronics applications.,Accessory,Webcam,TerraWave,P552-PLUS,Active,EA,Accessory,Stocked,16,33,33,10,100,B,N,N,121.4,119.65,126.32,220.99,192.35,USD,2025-04-20,SUP-004,Tokyo Precision Devices,V-SUP-004-25906,63,Japan,2.47,14.69,13.6,8.74,1746.11,Silver,Mixed Materials,N,WH-MIA-01,Z04,A28,R029,S03,B05,Z04-A28-R029-S03-B05,Bulk,Buy TerraWave P552-PLUS Webcam,https://example.com/images/ACC-TER-P552-PLUS-0010.jpg,https://example.com/products/ACC-TER-P552-PLUS-0010,Reliable webcam with modern electronics features and dependable performance.,"accessory,webcam,terrawave,p552-plus",Y,B2B,2025-04-20,mchen,2025-05-02,jmartinez,6
